quiz_score,topic_difficulty,days_since_scheduled,user_pace,action
0.3745401188473625,0.9507143064099162,2,0.8457837001909385,schedule_review
0.596850157946487,0.44583275285359114,6,0.3406585285177396,schedule_review
0.8661761457749352,0.6011150117432088,7,0.755621931064197,proceed
0.056411579027100256,0.7219987722668247,5,0.44863737747479326,schedule_review
0.18182496720710062,0.18340450985343382,3,0.7281572123417965,schedule_review
0.007066305219717406,0.023062425041415757,2,0.7282970263056656,schedule_review
0.13949386065204183,0.29214464853521815,7,0.46293993830121294,schedule_review
0.0906064345328208,0.6183860093330873,3,0.6599641068895281,schedule_review
0.5924145688620425,0.046450412719997725,2,0.7762152770114458,schedule_review
0.450499251969543,0.013264961159866528,0,0.9759424231521916,schedule_review
0.8083973481164611,0.3046137691733707,4,0.46162567793550424,proceed
0.24102546602601171,0.6832635188254582,3,0.6466238370778892,schedule_review
0.034388521115218396,0.9093204020787821,3,0.42756526145164364,schedule_review
0.7553614103176525,0.4251558744912447,5,0.6826971955402957,proceed
0.18485445552552704,0.9695846277645586,1,0.6148278933588359,schedule_review
0.3951502360018144,0.9266588657937942,6,0.9453119645161818,schedule_review
0.0884925020519195,0.1959828624191452,0,0.9728204170445443,schedule_review
0.8445338486781514,0.7473201101373809,6,0.8801162564063505,proceed
0.3567533266935893,0.28093450968738076,3,0.4931994274157803,schedule_review
0.2962735057040824,0.1652669390630025,0,0.9908208556203622,schedule_review
0.7722447692966574,0.1987156815341724,7,0.30985587590055913,proceed
0.19884240408880516,0.71134195274865,2,0.8398892426801621,schedule_review
0.07404465173409036,0.3584657285442726,0,0.9404717728806464,schedule_review
0.8500385777897993,0.4494506741382034,0,0.34449084520021656,proceed
0.3109823217156622,0.32518332202674705,2,0.7139084513954089,schedule_review
0.27472179299006416,0.5612434258477011,2,0.3837159721568112,schedule_review
0.713244787222995,0.7607850486168974,1,0.46518944382426897,schedule_review
0.25606832276132396,0.04043358953843135,6,0.5992787128509847,schedule_review
0.02541912674409519,0.10789142699330445,6,0.9270345169714636,schedule_review
0.47537022318211175,0.5632755719763837,3,0.9352965317482651,schedule_review
0.24929222914887494,0.41038292303562973,2,0.44214285731433856,schedule_review
0.942853570557981,0.598865466488536,2,0.4128549010778031,proceed
0.9296976523425731,0.808120379564417,0,0.3738459818811894,proceed
0.45653457048291024,0.2184404372168336,3,0.9247912989429843,schedule_review
0.5393422419156507,0.8074401551640625,3,0.5494084866538824,schedule_review
0.906828441545754,0.2721322493846353,2,0.5989754520383794,proceed
0.8180147659224931,0.8607305832563434,6,0.4152590972000592,proceed
0.534089419375442,0.4848299713589832,0,0.38390575713357794,schedule_review
0.33761517140362796,0.9429097039125192,5,0.45313495370114915,schedule_review
0.5581020020173412,0.4038361710580408,5,0.9802474579046725,schedule_review
0.9624472949421112,0.25178229582536416,1,0.7985894129471094,accelerate
0.1480869299533999,0.9977404850489419,2,0.7266950337859277,schedule_review
0.5026790232288615,0.05147875124998935,4,0.5415498736186781,schedule_review
0.6343513447013638,0.6807054515547668,4,0.642616932194294,proceed
0.9856504541106007,0.2420552715115004,3,0.35659732843290065,proceed
0.36965445606140446,0.24215993827742588,5,0.5574481929034772,schedule_review
0.6323058305935795,0.6335297107608947,2,0.8715023112535687,proceed
0.7983451249845511,0.15071754396542947,2,0.4305629572798979,proceed
0.040775141554763916,0.5908929431882418,2,0.4541687332958838,schedule_review
0.7111495324380178,0.8095010461397154,3,0.7516209532866149,proceed
0.17436642900499144,0.690937738102466,7,0.662425945369236,schedule_review
0.837710105907328,0.6756901170392807,0,0.37943146486841234,proceed
0.9246936182785628,0.877339353380981,2,0.45998501525810975,proceed
0.17495492709593619,0.9821683433294356,3,0.6707554048492045,schedule_review
0.24185229090045168,0.09310276780589921,3,0.6908054175249683,schedule_review
0.8826363431893397,0.18870710834137938,0,0.5444467022288626,proceed
0.7259556788702394,0.8971102599525771,7,0.583155688985533,proceed
0.8877700987609598,0.8509284487675127,0,0.4131400998662296,proceed
